,reward,num_moves,num_completed_suits,seed
451,188.0,122.0,1.0,451
452,47.0,133.0,1.0,452
453,202.0,130.0,1.0,453
454,-50.0,98.0,0.0,454
455,101.0,129.0,0.0,455
456,247.0,129.0,1.0,456
457,43.0,109.0,0.0,457
458,175.0,123.0,0.0,458
459,121.0,121.0,1.0,459
460,-24.0,108.0,0.0,460
461,53.0,113.0,1.0,461
462,182.0,120.0,1.0,462
463,67.0,109.0,0.0,463
464,244.0,158.0,2.0,464
465,223.0,148.0,2.0,465
466,-22.0,100.0,0.0,466
467,90.0,122.0,0.0,467
468,-23.0,105.0,0.0,468
469,62.0,106.0,0.0,469
470,398.0,166.0,3.0,470
471,-6.0,102.0,0.0,471
472,138.0,146.0,1.0,472
473,42.0,114.0,0.0,473
474,39.0,115.0,0.0,474
475,248.0,150.0,1.0,475
476,-20.0,94.0,0.0,476
477,71.0,117.0,0.0,477
478,-36.0,98.0,0.0,478
479,220.0,146.0,2.0,479
480,318.0,156.0,2.0,480
481,47.0,121.0,0.0,481
482,138.0,126.0,0.0,482
483,213.0,149.0,1.0,483
484,102.0,125.0,1.0,484
485,268.0,158.0,2.0,485
486,-45.0,89.0,0.0,486
487,333.0,173.0,2.0,487
488,25.0,111.0,0.0,488
489,282.0,168.0,2.0,489
490,139.0,127.0,1.0,490
491,210.0,146.0,1.0,491
492,61.0,113.0,0.0,492
493,53.0,113.0,0.0,493
494,74.0,114.0,0.0,494
495,2.0,100.0,0.0,495
496,79.0,99.0,0.0,496
497,105.0,114.0,0.0,497
498,12.0,98.0,0.0,498
499,108.0,118.0,0.0,499
500,-14.0,108.0,0.0,500
501,134.0,136.0,1.0,501
502,353.0,169.0,3.0,502
503,339.0,173.0,3.0,503
504,78.0,116.0,0.0,504
505,75.0,111.0,0.0,505
506,12.0,132.0,0.0,506
507,44.0,114.0,0.0,507
508,271.0,167.0,1.0,508
509,192.0,120.0,1.0,509
510,391.0,151.0,2.0,510
511,21.0,113.0,0.0,511
512,53.0,128.0,1.0,512
513,61.0,121.0,0.0,513
514,14.0,110.0,0.0,514
515,1.0,99.0,0.0,515
516,330.0,152.0,2.0,516
517,238.0,144.0,2.0,517
518,177.0,157.0,1.0,518
519,129.0,143.0,0.0,519
520,52.0,112.0,0.0,520
521,50.0,122.0,0.0,521
522,60.0,122.0,0.0,522
523,276.0,156.0,1.0,523
524,35.0,107.0,0.0,524
525,224.0,152.0,1.0,525
526,76.0,116.0,0.0,526
527,109.0,123.0,1.0,527
528,301.0,139.0,1.0,528
529,54.0,120.0,0.0,529
530,-31.0,95.0,0.0,530
531,0.0,108.0,0.0,531
532,157.0,133.0,0.0,532
533,-2.0,116.0,0.0,533
534,160.0,144.0,1.0,534
535,95.0,109.0,0.0,535
536,206.0,118.0,1.0,536
537,243.0,151.0,2.0,537
538,111.0,135.0,0.0,538
539,196.0,120.0,1.0,539
540,222.0,152.0,2.0,540
541,169.0,131.0,1.0,541
542,115.0,127.0,0.0,542
543,302.0,170.0,3.0,543
544,32.0,106.0,0.0,544
545,33.0,103.0,0.0,545
546,-5.0,99.0,0.0,546
547,30.0,110.0,0.0,547
548,60.0,114.0,0.0,548
549,197.0,129.0,1.0,549
550,13.0,113.0,0.0,550
551,90.0,122.0,0.0,551
552,104.0,120.0,1.0,552
553,-10.0,100.0,0.0,553
554,278.0,148.0,1.0,554
555,215.0,135.0,1.0,555
556,-5.0,107.0,0.0,556
557,81.0,117.0,0.0,557
558,22.0,104.0,0.0,558
559,108.0,118.0,0.0,559
560,69.0,115.0,0.0,560
561,137.0,119.0,1.0,561
562,-8.0,112.0,0.0,562
563,334.0,185.0,3.0,563
564,379.0,196.0,4.0,564
565,72.0,112.0,0.0,565
566,507.0,202.0,5.0,566
567,47.0,115.0,0.0,567
568,69.0,109.0,0.0,568
569,223.0,125.0,1.0,569
570,56.0,128.0,0.0,570
571,-9.0,113.0,0.0,571
572,96.0,118.0,0.0,572
573,34.0,118.0,0.0,573
574,146.0,138.0,0.0,574
575,9.0,105.0,0.0,575
576,257.0,137.0,1.0,576
577,412.0,142.0,3.0,577
578,104.0,120.0,0.0,578
579,7.0,103.0,0.0,579
580,128.0,148.0,0.0,580
581,113.0,141.0,1.0,581
582,65.0,115.0,0.0,582
583,19.0,105.0,0.0,583
584,16.0,106.0,0.0,584
585,376.0,172.0,2.0,585
586,-33.0,111.0,0.0,586
587,209.0,149.0,1.0,587
588,119.0,117.0,0.0,588
589,79.0,125.0,0.0,589
590,-15.0,103.0,0.0,590
591,70.0,112.0,0.0,591
592,387.0,195.0,4.0,592
593,39.0,107.0,0.0,593
594,1.0,107.0,0.0,594
595,-49.0,85.0,0.0,595
596,203.0,145.0,1.0,596
597,124.0,126.0,0.0,597
598,55.0,117.0,0.0,598
599,281.0,158.0,2.0,599
600,13.0,109.0,0.0,600
601,48.0,114.0,0.0,601
602,-31.0,95.0,0.0,602
603,12.0,102.0,0.0,603
604,393.0,151.0,2.0,604
605,39.0,111.0,0.0,605
606,189.0,147.0,1.0,606
607,193.0,135.0,1.0,607
608,154.0,140.0,0.0,608
609,90.0,114.0,0.0,609
610,178.0,120.0,1.0,610
611,2.0,96.0,0.0,611
612,38.0,120.0,0.0,612
613,68.0,112.0,0.0,613
614,-23.0,97.0,0.0,614
615,241.0,143.0,1.0,615
616,99.0,125.0,0.0,616
617,-3.0,107.0,0.0,617
618,46.0,126.0,0.0,618
619,80.0,116.0,1.0,619
620,299.0,147.0,2.0,620
621,59.0,127.0,0.0,621
622,136.0,132.0,1.0,622
623,156.0,128.0,1.0,623
624,32.0,114.0,0.0,624
625,107.0,111.0,0.0,625
626,37.0,109.0,0.0,626
627,18.0,108.0,0.0,627
628,-2.0,102.0,0.0,628
629,101.0,127.0,0.0,629
630,107.0,115.0,1.0,630
631,189.0,129.0,1.0,631
632,21.0,95.0,0.0,632
633,55.0,111.0,0.0,633
634,-13.0,99.0,0.0,634
635,98.0,122.0,0.0,635
636,211.0,129.0,1.0,636
637,198.0,122.0,1.0,637
638,77.0,109.0,0.0,638
639,215.0,147.0,1.0,639
640,87.0,113.0,0.0,640
641,71.0,123.0,0.0,641
642,83.0,109.0,0.0,642
643,127.0,131.0,0.0,643
644,132.0,130.0,0.0,644
645,251.0,153.0,2.0,645
646,68.0,114.0,0.0,646
647,145.0,129.0,2.0,647
648,474.0,188.0,5.0,648
649,198.0,134.0,1.0,649
650,19.0,121.0,0.0,650
651,148.0,122.0,1.0,651
652,24.0,114.0,0.0,652
653,143.0,119.0,1.0,653
654,448.0,146.0,3.0,654
655,29.0,99.0,0.0,655
656,17.0,107.0,0.0,656
657,210.0,122.0,1.0,657
658,167.0,141.0,2.0,658
659,251.0,139.0,1.0,659
660,19.0,103.0,0.0,660
661,198.0,124.0,1.0,661
662,39.0,121.0,0.0,662
663,196.0,128.0,1.0,663
664,37.0,123.0,1.0,664
665,85.0,113.0,0.0,665
666,191.0,131.0,1.0,666
667,53.0,107.0,0.0,667
668,118.0,124.0,0.0,668
669,30.0,102.0,0.0,669
670,128.0,126.0,0.0,670
671,28.0,106.0,0.0,671
672,237.0,139.0,1.0,672
673,114.0,120.0,0.0,673
674,27.0,107.0,0.0,674
675,93.0,115.0,1.0,675
676,-4.0,100.0,0.0,676
677,170.0,150.0,1.0,677
678,22.0,102.0,0.0,678
679,57.0,119.0,0.0,679
680,30.0,120.0,0.0,680
681,3.0,105.0,0.0,681
682,-6.0,100.0,0.0,682
683,2.0,102.0,0.0,683
684,411.0,166.0,3.0,684
